Projekt-Nummer: 20250999
Projektname: Musterstraﬂe
Versuchs-Nummer: CPTU 1
Kundenname: -
Ort: Musterhausen
Datum: 29.03.2025
Konus-Nummer: xxxxxx.Sxxxxx
Gel‰ndekante: 0,00
Wasserspiegel: 0,00
Vorbohrwerte: 0,00
E Coordinate: 0,000
N Coordinate: 0,000

Tiefe     qc        fs        u2        I         Rf        qt        ic        Su_min    Su_max    soilfr    soilbq    soilavg   IFA       
          [MPa]     [MPa]     [MPa]     [∞]       [%]       [MPa]               [kPa]     [kPa]                                   [∞]       

1,01      3,55      0,124     0,225     1,4       3,81      3,592     1,88      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,02      3,55      0,124     0,225     1,4       3,81      3,593     1,89      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,03      3,55      0,126     0,228     1,4       3,85      3,595     1,90      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,04      3,57      0,128     0,229     1,4       3,88      3,620     1,90      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,05      3,59      0,127     0,229     1,5       3,87      3,632     1,90      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,06      3,57      0,131     0,229     1,5       4,00      3,612     1,92      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,07      3,29      0,133     0,223     1,5       4,09      3,339     1,97      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,08      3,21      0,134     0,220     1,5       4,17      3,250     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,09      3,21      0,135     0,219     1,5       4,25      3,249     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,10      3,12      0,135     0,216     1,4       4,32      3,163     2,01      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,11      3,09      0,135     0,213     1,4       4,40      3,128     2,02      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,12      3,03      0,139     0,212     1,4       4,61      3,073     2,04      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,13      3,21      0,139     0,226     1,4       4,69      3,255     2,01      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,14      2,78      0,143     0,210     1,4       4,89      2,820     2,10      UNDEF     UNDEF     9,0       7,0       0,0       UNDEF     
1,15      2,70      0,143     0,205     1,5       4,96      2,746     2,12      UNDEF     UNDEF     9,0       7,0       0,0       UNDEF     
1,16      2,62      0,143     0,202     1,5       4,91      2,664     2,14      UNDEF     UNDEF     9,0       7,0       0,0       UNDEF     
1,17      2,57      0,143     0,202     1,5       4,71      2,608     2,15      UNDEF     UNDEF     9,0       7,0       0,0       UNDEF     
1,18      2,56      0,143     0,202     1,5       4,36      2,603     2,15      UNDEF     UNDEF     9,0       7,0       0,0       UNDEF     
1,19      2,56      0,142     0,202     1,5       3,78      2,603     2,15      UNDEF     UNDEF     9,0       7,0       0,0       UNDEF     
1,20      2,56      0,126     0,202     1,4       2,90      2,604     2,11      UNDEF     UNDEF     9,0       7,0       0,0       UNDEF     
1,21      2,56      0,121     0,202     1,5       2,48      2,604     2,10      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
